,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleIndegree,8.0,8.0,10.0,6.0,12.0,190.0,6.0,2.0,8.0,4.0,4.0,4.0,12.0,4.0,6.0,6.0,6.0,2.0,4.0,6.0,14.0,2.0,2.0,2.0,8.0,6.0,8.0,6.0,8.0,10.0,4.0,2.0
"[('RAF', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('AKT', 0)]",0.5,-0.5,-0.3,-0.5,0.0,-0.3105263157894737,-0.5,-0.5,-0.25,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('ERK', 0)]",-0.5,-0.25,0.2,-0.5,-0.08333333333333333,-0.30526315789473685,-0.3333333333333333,-0.5,-0.125,-0.5,0.0,-0.5,-0.08333333333333333,-0.5,-0.3333333333333333,-0.5,-0.5,-0.5,-0.5,-0.16666666666666666,-0.42857142857142855,-0.5,-0.5,-0.5,-0.375,-0.16666666666666666,-0.125,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5
"[('ZEB1', 0)]",-0.5,-0.5,-0.3,-0.16666666666666666,-0.16666666666666666,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.3333333333333333,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.25,-0.1,-0.5,-0.5
"[('PI3K', 0)]",-0.25,-0.5,-0.3,-0.5,0.0,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('GSK3b', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('miR34', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.5,-0.16666666666666666,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.35714285714285715,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.3,-0.5,-0.5
"[('AP1', 0)]",-0.5,0.5,-0.3,-0.5,-0.16666666666666666,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.35714285714285715,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('PI3K', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('Twist1', 1)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('MYC', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3736842105263158,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.16666666666666666,-0.5,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('IKK', 0)]",-0.5,-0.5,-0.3,-0.5,0.0,-0.3631578947368421,-0.5,-0.5,-0.5,0.5,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.5,-0.5
"[('TAK1', 0)]",-0.5,-0.25,-0.3,-0.5,0.0,-0.34210526315789475,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,0.0,-0.5
"[('MDM2', 0)]",-0.25,-0.5,-0.5,-0.3333333333333333,-0.08333333333333333,-0.29473684210526313,-0.5,-0.5,-0.5,-0.5,0.5,0.0,-0.08333333333333333,-0.5,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,-0.5,-0.5,-0.5,-0.42857142857142855,-0.5,-0.5,-0.5,-0.25,-0.16666666666666666,-0.125,-0.5,-0.125,-0.1,-0.5,-0.5
"[('TGFBR', 0)]",-0.125,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.1569078947368421,-0.08333333333333333,-0.5,-0.125,-0.09375,-0.25,-0.25,-0.13541666666666666,-0.25,-0.25,-0.16666666666666666,-0.16666666666666666,0.5,-0.25,-0.08333333333333333,-0.13839285714285715,-0.5,0.5,-0.5,-0.15625,-0.125,-0.15625,-0.16666666666666666,-0.1875,-0.1625,0.0,-0.5
